System Time, Elapsed Time (sec), Package Power (Watt), CPU Power (Watt), DRAM Power (Watt), GPU Power (Watt), E-Core Frequency (Mhz), P-Core Frequency (Mhz), GPU Frequency (Mhz), CPU MIN Temperature (C), CPU AVG Temperature (C), CPU MAX Temperature (C), GPU AVG Temperature (C), CPU Utilization (%), E-Core Utilization (%), P-Core Utilization (%), GPU Utilization (%)
17:46:51.367, 0.000, 1.878, 1.078, 0.404, 0.010, 1547, 1462, 31, 55, 56, 59, 56, 14.183, 15.865, 13.622, 5.000
17:46:52.343, 0.976, 1.072, 0.434, 0.348, 0.012, 1237, 974, 41, 55, 57, 60, 56, 14.249, 24.742, 10.769, 22.000
17:46:53.339, 1.972, 0.738, 0.300, 0.144, 0.000, 999, 880, 0, 55, 57, 60, 56, 9.524, 8.500, 9.866, 2.000
17:46:54.343, 2.976, 3.622, 1.826, 0.572, 0.040, 1305, 2014, 14, 54, 57, 60, 56, 18.463, 17.241, 18.874, 7.000
17:46:55.351, 3.984, 0.670, 0.444, 0.270, 0.020, 1365, 975, 45, 56, 58, 61, 56, 20.474, 18.593, 21.096, 13.000
17:46:56.322, 4.955, 1.342, 0.760, 0.328, 0.032, 1643, 1104, 38, 55, 57, 59, 56, 18.566, 28.571, 15.214, 8.000
17:46:57.334, 5.967, 0.602, 0.290, 0.282, 0.036, 1067, 866, 77, 55, 57, 60, 56, 12.811, 20.896, 10.116, 16.000
17:46:58.373, 7.006, 3.422, 1.398, 0.692, 0.026, 1593, 1646, 29, 56, 58, 60, 56, 38.969, 63.942, 30.671, 7.000
17:46:59.344, 7.977, 10.200, 6.582, 0.954, 0.088, 1575, 3160, 44, 55, 58, 61, 56, 32.134, 40.206, 29.452, 21.000
17:47:00.322, 8.955, 7.246, 4.438, 0.960, 0.036, 1540, 3163, 71, 57, 60, 63, 57, 28.571, 20.408, 31.293, 15.000
17:47:01.338, 9.971, 9.596, 5.992, 1.026, 0.048, 1528, 3143, 39, 57, 60, 64, 57, 42.312, 19.118, 50.082, 21.000
17:47:02.337, 10.970, 7.112, 4.152, 0.926, 0.014, 1107, 3171, 33, 57, 60, 64, 58, 26.792, 10.101, 32.328, 19.000
17:47:03.351, 11.983, 7.380, 4.062, 0.988, 0.004, 1182, 3171, 5, 56, 59, 64, 58, 23.956, 9.804, 28.689, 2.000
17:47:04.335, 12.968, 7.246, 3.644, 1.000, 0.020, 1121, 3190, 11, 56, 59, 64, 58, 24.204, 8.163, 29.542, 2.000
17:47:05.335, 13.968, 6.844, 3.414, 1.024, 0.000, 1064, 3193, 2, 56, 59, 63, 58, 22.886, 7.426, 28.073, 5.000
17:47:06.332, 14.965, 6.776, 3.378, 1.026, 0.000, 1076, 3186, 0, 56, 59, 63, 58, 22.961, 6.566, 28.381, 4.000
17:47:07.332, 15.965, 6.776, 3.320, 1.046, 0.006, 1110, 3196, 9, 56, 59, 63, 58, 23.221, 6.965, 28.667, 2.000
17:47:08.329, 16.962, 6.978, 3.244, 1.048, 0.010, 1047, 3199, 6, 56, 59, 63, 58, 22.670, 7.538, 27.731, 2.000
17:47:09.329, 17.962, 6.508, 3.254, 1.042, 0.000, 1052, 3193, 0, 56, 59, 63, 58, 22.818, 6.500, 28.239, 10.000
17:47:10.340, 18.972, 6.912, 3.396, 1.072, 0.012, 1072, 3192, 4, 56, 59, 63, 58, 23.792, 9.406, 28.595, 1.000
17:47:11.324, 19.957, 7.516, 3.704, 1.160, 0.080, 1332, 3158, 62, 57, 60, 62, 58, 27.863, 11.224, 33.390, 25.000
17:47:12.339, 20.972, 8.320, 4.440, 1.122, 0.002, 1210, 3170, 6, 57, 60, 63, 58, 25.894, 8.416, 31.691, 15.000
17:47:13.330, 21.963, 4.898, 2.106, 0.736, 0.000, 1073, 2477, 0, 57, 60, 63, 58, 20.581, 8.000, 24.831, 2.000
17:47:14.331, 22.964, 0.402, 0.242, 0.118, 0.000, 999, 842, 0, 56, 59, 63, 58, 9.352, 7.500, 9.967, 2.000
17:47:15.328, 23.961, 0.468, 0.216, 0.104, 0.000, 1018, 822, 0, 56, 58, 61, 57, 10.916, 14.000, 9.883, 2.000
17:47:16.355, 24.988, 0.670, 0.422, 0.170, 0.000, 1016, 1091, 0, 56, 58, 61, 58, 14.649, 24.272, 11.452, 1.000
17:47:17.331, 25.964, 0.938, 0.322, 0.360, 0.002, 1048, 1070, 4, 55, 58, 61, 57, 14.763, 28.866, 10.085, 21.000
17:47:18.330, 26.963, 0.670, 0.362, 0.282, 0.050, 1316, 1631, 75, 55, 58, 61, 57, 12.516, 17.500, 10.851, 10.000
17:47:19.359, 27.992, 6.978, 3.380, 1.100, 0.022, 1747, 3181, 62, 56, 58, 60, 57, 23.114, 10.244, 27.391, 14.000
17:47:20.330, 28.963, 6.844, 3.374, 1.118, 0.026, 1723, 3182, 64, 57, 59, 62, 58, 25.450, 11.340, 30.137, 20.000
17:47:21.328, 29.961, 8.186, 4.422, 1.094, 0.044, 1461, 3184, 92, 57, 60, 63, 58, 28.750, 14.925, 33.389, 21.000
17:47:22.341, 30.974, 3.622, 2.266, 0.486, 0.008, 1169, 2110, 11, 58, 60, 63, 58, 25.403, 14.925, 28.878, 35.000
17:47:23.339, 31.972, 0.602, 0.358, 0.144, 0.004, 1029, 893, 3, 57, 59, 63, 58, 9.938, 8.416, 10.448, 8.000
17:47:24.354, 32.987, 5.100, 2.872, 0.698, 0.048, 1499, 2077, 66, 56, 58, 61, 58, 18.272, 16.337, 18.914, 19.000
17:47:25.329, 33.962, 8.320, 4.690, 1.100, 0.110, 1669, 3039, 114, 57, 59, 62, 58, 29.782, 16.495, 34.188, 33.000
17:47:26.320, 34.953, 6.978, 3.238, 1.104, 0.000, 1097, 3089, 0, 57, 60, 64, 58, 17.215, 9.548, 19.797, 8.000
17:47:27.303, 35.936, 0.334, 0.098, 0.096, 0.000, 1008, 728, 0, 57, 59, 62, 58, 9.149, 7.179, 9.797, 1.000
17:47:28.330, 36.963, 0.536, 0.248, 0.134, 0.000, 1015, 852, 0, 56, 58, 60, 58, 9.634, 9.179, 9.788, 1.000
17:47:29.324, 37.957, 0.938, 0.370, 0.278, 0.044, 1290, 1456, 49, 56, 58, 62, 58, 11.616, 13.131, 11.111, 13.000
17:47:30.361, 38.994, 6.912, 3.402, 1.170, 0.042, 1164, 3187, 57, 56, 58, 60, 58, 23.150, 12.500, 26.667, 14.000
17:47:31.337, 39.970, 7.716, 4.156, 1.130, 0.056, 1886, 3126, 82, 56, 59, 62, 58, 25.964, 12.821, 30.360, 18.000
17:47:32.335, 40.968, 2.616, 1.694, 0.346, 0.012, 1237, 1676, 115, 58, 60, 63, 59, 25.188, 16.500, 28.094, 39.000
17:47:33.337, 41.970, 0.602, 0.282, 0.148, 0.000, 998, 869, 0, 57, 59, 62, 58, 12.625, 8.543, 13.977, 2.000
17:47:34.339, 42.972, 0.468, 0.280, 0.112, 0.000, 999, 852, 0, 56, 58, 61, 58, 9.091, 7.426, 9.651, 1.000
17:47:35.364, 43.997, 4.966, 2.646, 0.756, 0.038, 1414, 2274, 60, 56, 58, 60, 58, 18.215, 16.667, 18.730, 16.000
17:47:36.340, 44.973, 8.790, 5.480, 1.118, 0.164, 1572, 3141, 210, 57, 59, 62, 58, 32.097, 14.796, 37.884, 30.000
17:47:37.310, 45.943, 1.408, 0.750, 0.256, 0.000, 1100, 1252, 0, 57, 60, 63, 58, 12.371, 7.216, 14.089, 0.000
