"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"19:11:01:386","788511077610","   0.000","  34.565"," 2593"," 1200"," 2600"," 2600","  20.127","  19.936","   5.538","  16.199","  16.045","   4.457"," 59","0"," 48"," 61","   2.188","   2.167","   0.602","  45.000","  800","  800"
"19:11:02:376","790697159244","   0.990","  32.837"," 2593"," 1200"," 2600"," 2600","  24.394","  44.087","  12.246","  15.020","  30.916","   8.588"," 56","0"," 51"," 61","   2.828","   4.967","   1.380","  45.000"," 1050"," 1100"
"19:11:03:366","792883130732","   1.980","  31.857"," 2591"," 1200"," 2700"," 2597","  21.859","  65.728","  18.258","  14.416","  45.188","  12.552"," 53","0"," 49"," 61","   2.373","   7.317","   2.032","  45.000","  900","  900"
"19:11:04:357","795070314486","   2.971","   4.962"," 1821"," 1200"," 2600"," 1830","   2.625","  68.329","  18.980","   1.802","  46.972","  13.048"," 50","0"," 46"," 53","   0.725","   8.035","   2.232","  45.000","    0","    0"
"19:11:05:348","797257911884","   3.961","   4.183"," 1856"," 1200"," 2600"," 1862","   2.262","  70.570","  19.603","   1.609","  48.566","  13.491"," 48","0"," 45"," 52","   0.659","   8.688","   2.413","  45.000","    0","    0"
"19:11:06:338","799444785640","   4.952","   4.803"," 1692"," 1200"," 2600"," 1700","   2.317","  72.864","  20.240","   1.550","  50.101","  13.917"," 49","0"," 45"," 51","   0.721","   9.403","   2.612","  45.000","    0","    0"
"19:11:07:329","801632989756","   5.943","   8.101"," 1853"," 1200"," 2600"," 1858","   4.960","  77.780","  21.605","   2.926","  53.001","  14.723"," 49","0"," 46"," 51","   1.184","  10.576","   2.938","  45.000","  400","  400"
"19:11:08:319","803818987464","   6.933","  19.829"," 2415"," 1200"," 2600"," 2423","  12.136","  89.795","  24.943","   8.502","  61.418","  17.061"," 54","0"," 47"," 58","   1.786","  12.344","   3.429","  45.000","    0","    0"
"19:11:09:309","806005315974","   7.923","  32.595"," 2594"," 2500"," 2600"," 2600","  19.030"," 108.639","  30.177","  14.942","  76.214","  21.171"," 59","0"," 50"," 61","   2.405","  14.726","   4.091","  45.000","  600","  600"
"19:11:10:300","808193209844","   8.914","  24.873"," 2515"," 1200"," 2600"," 2522","  16.639"," 125.126","  34.757","  11.255","  87.367","  24.268"," 52","0"," 48"," 61","   2.500","  17.203","   4.779","  45.000","  700","  700"
"19:11:11:291","810381423682","   9.905","   7.212"," 2091"," 1200"," 2600"," 2101","   3.999"," 129.090","  35.858","   3.042","  90.382","  25.106"," 49","0"," 46"," 56","   0.835","  18.031","   5.009","  45.000","    0","    0"
"19:11:12:282","812569684132","  10.896","   3.891"," 1558"," 1200"," 2600"," 1569","   1.942"," 131.014","  36.393","   1.202","  91.573","  25.437"," 48","0"," 46"," 51","   0.700","  18.725","   5.201","  45.000","    0","    0"
